,Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,run_no,fold_change
0,1,20180522,gchure,Q294K,O2,R260,0.0,9812.891620681705,260.0,r3,0.1912993285235293
1,22,20180522,gchure,Q294K,O2,R260,0.0,9232.472411909228,260.0,r4,0.1544681079687356
2,30,20180522,gchure,Q294K,O2,R260,0.0,9726.062179480552,260.0,r1,0.1857894586722324
3,41,20180522,gchure,auto,O2,R0,0.0,6798.226257226043,0.0,r1,0.0
4,43,20180522,gchure,Q294K,O2,R260,0.0,9999.148330991247,260.0,r6,0.20311847901603186
6,79,20180522,gchure,delta,O2,R0,0.0,22557.1177636584,0.0,r1,1.0
7,92,20180522,gchure,Q294K,O2,R260,0.0,9301.466912360742,260.0,r2,0.15884623954121024
8,5,20180522,gchure,Q294K,O2,R260,0.1,10691.854791860736,260.0,r2,0.2871492610584459
9,7,20180522,gchure,delta,O2,R0,0.1,23085.755682790685,0.0,r1,1.0
10,31,20180522,gchure,Q294K,O2,R260,0.1,10997.774978204194,260.0,r6,0.30474464388514444
11,37,20180522,gchure,Q294K,O2,R260,0.1,10924.5327446965,260.0,r3,0.3005320250545471
13,85,20180522,gchure,Q294K,O2,R260,0.1,10451.220723424074,260.0,r4,0.2733088911047763
14,90,20180522,gchure,auto,O2,R0,0.1,5699.365778317129,0.0,r1,0.0
15,94,20180522,gchure,Q294K,O2,R260,0.1,10683.983605403137,260.0,r1,0.28669653990696786
16,10,20180522,gchure,Q294K,O2,R260,5.0,10424.424849775805,260.0,r2,0.31041043867572626
18,23,20180522,gchure,delta,O2,R0,5.0,21344.0231169547,0.0,r1,1.0
19,55,20180522,gchure,auto,O2,R0,5.0,5509.099156955766,0.0,r1,0.0
20,56,20180522,gchure,Q294K,O2,R260,5.0,9883.264166644427,260.0,r6,0.27623530247056244
21,57,20180522,gchure,Q294K,O2,R260,5.0,10711.833556605623,260.0,r1,0.3285607441369872
22,78,20180522,gchure,Q294K,O2,R260,5.0,10050.768723988382,260.0,r4,0.2868134749813426
23,80,20180522,gchure,Q294K,O2,R260,5.0,9992.816391088774,260.0,r3,0.2831536953040923
24,8,20180522,gchure,Q294K,O2,R260,10.0,11626.478853081673,260.0,r4,0.31785196327129106
25,15,20180522,gchure,Q294K,O2,R260,10.0,11717.421514009244,260.0,r3,0.3224328199847498
26,25,20180522,gchure,Q294K,O2,R260,10.0,11353.721130424343,260.0,r2,0.3041129321912829
28,65,20180522,gchure,auto,O2,R0,10.0,5316.239278022303,0.0,r1,0.0
29,69,20180522,gchure,delta,O2,R0,10.0,25169.001897812985,0.0,r1,1.0
30,75,20180522,gchure,Q294K,O2,R260,10.0,11689.933096114893,260.0,r6,0.3210482057413423
31,86,20180522,gchure,Q294K,O2,R260,10.0,11689.056542141288,260.0,r1,0.321004052995934
32,6,20180522,gchure,Q294K,O2,R260,25.0,10190.452163203221,260.0,r4,0.3729352400187677
33,19,20180522,gchure,Q294K,O2,R260,25.0,9881.244848687349,260.0,r3,0.3489169758574479
34,34,20180522,gchure,Q294K,O2,R260,25.0,10083.623401291601,260.0,r2,0.3646371134765888
36,61,20180522,gchure,auto,O2,R0,25.0,5389.343170479174,0.0,r1,0.0
37,72,20180522,gchure,delta,O2,R0,25.0,18263.18419575325,0.0,r1,1.0
38,77,20180522,gchure,Q294K,O2,R260,25.0,10554.710833804464,260.0,r6,0.4012297225967432
39,83,20180522,gchure,Q294K,O2,R260,25.0,9819.197924322983,260.0,r1,0.3440973634167974
40,18,20180522,gchure,auto,O2,R0,50.0,5295.27880959991,0.0,r1,0.0
41,24,20180522,gchure,Q294K,O2,R260,50.0,11106.382297864273,260.0,r6,0.35612632736109856
42,36,20180522,gchure,delta,O2,R0,50.0,21612.812902978312,0.0,r1,1.0
43,45,20180522,gchure,Q294K,O2,R260,50.0,10410.093556505044,260.0,r1,0.3134551285528313
44,53,20180522,gchure,Q294K,O2,R260,50.0,10264.535445552468,260.0,r4,0.30453477881618546
45,63,20180522,gchure,Q294K,O2,R260,50.0,10114.411792623754,260.0,r3,0.29533463545692434
46,74,20180522,gchure,Q294K,O2,R260,50.0,9720.824951862322,260.0,r2,0.2712141501857369
48,11,20180522,gchure,Q294K,O2,R260,75.0,10679.237998901051,260.0,r3,0.3195837614735364
49,17,20180522,gchure,Q294K,O2,R260,75.0,11345.030526607827,260.0,r4,0.35896747518894795
51,46,20180522,gchure,Q294K,O2,R260,75.0,10515.755691785542,260.0,r2,0.30991327087318554
52,49,20180522,gchure,auto,O2,R0,75.0,5276.586489116135,0.0,r1,0.0
53,76,20180522,gchure,Q294K,O2,R260,75.0,11736.243144384372,260.0,r1,0.38210892706651217
54,88,20180522,gchure,Q294K,O2,R260,75.0,11832.439190891335,260.0,r6,0.3877992245668968
55,91,20180522,gchure,delta,O2,R0,75.0,22181.86191636055,0.0,r1,1.0
65,27,20180522,gchure,auto,O2,R0,250.0,5388.663589311782,0.0,r1,0.0
66,28,20180522,gchure,Q294K,O2,R260,250.0,14397.653011042268,260.0,r1,0.6169698706070522
67,35,20180522,gchure,Q294K,O2,R260,250.0,12803.174881078903,260.0,r4,0.5077739420208346
68,60,20180522,gchure,delta,O2,R0,250.0,19990.656086719016,0.0,r1,1.0
69,64,20180522,gchure,Q294K,O2,R260,250.0,13231.824229742582,260.0,r2,0.5371294802283627
70,81,20180522,gchure,Q294K,O2,R260,250.0,12956.0342916529,260.0,r3,0.5182423360157732
71,89,20180522,gchure,Q294K,O2,R260,250.0,15000.916413111656,260.0,r6,0.6582836435169138
72,13,20180522,gchure,Q294K,O2,R260,500.0,14302.771414526862,260.0,r3,0.5181160313362886
73,21,20180522,gchure,Q294K,O2,R260,500.0,15415.154200562722,260.0,r6,0.5833218873060263
74,38,20180522,gchure,delta,O2,R0,500.0,22523.49674105175,0.0,r1,1.0
75,40,20180522,gchure,Q294K,O2,R260,500.0,15303.358347970649,260.0,r2,0.5767686177358357
76,48,20180522,gchure,Q294K,O2,R260,500.0,15561.232210369955,260.0,r1,0.5918847145876139
77,50,20180522,gchure,auto,O2,R0,500.0,5463.943277753575,0.0,r1,0.0
78,54,20180522,gchure,Q294K,O2,R260,500.0,15310.994537331699,260.0,r4,0.5772162372692238
80,14,20180522,gchure,Q294K,O2,R260,1000.0,16182.236364023256,260.0,r3,0.6660676370207981
81,29,20180522,gchure,delta,O2,R0,1000.0,21590.79797959041,0.0,r1,1.0
83,47,20180522,gchure,Q294K,O2,R260,1000.0,18703.422365237853,260.0,r6,0.8217292821562564
84,58,20180522,gchure,Q294K,O2,R260,1000.0,17437.609581978944,260.0,r4,0.7435761827099441
85,71,20180522,gchure,Q294K,O2,R260,1000.0,17964.741232576398,260.0,r2,0.7761220479874125
86,73,20180522,gchure,auto,O2,R0,1000.0,5394.2198243188595,0.0,r1,0.0
87,95,20180522,gchure,Q294K,O2,R260,1000.0,17128.45440365022,260.0,r1,0.7244884979307917
88,2,20180522,gchure,Q294K,O2,R260,5000.0,21157.232461372867,260.0,r2,0.9395451774413478
89,12,20180522,gchure,auto,O2,R0,5000.0,5589.794194826356,0.0,r1,0.0
90,20,20180522,gchure,Q294K,O2,R260,5000.0,22167.258096466157,260.0,r1,1.0005034865925266
91,39,20180522,gchure,Q294K,O2,R260,5000.0,19990.84405210446,260.0,r4,0.8691498698648547
93,52,20180522,gchure,delta,O2,R0,5000.0,22158.91576590517,0.0,r1,1.0
94,62,20180522,gchure,Q294K,O2,R260,5000.0,21839.451351828226,260.0,r6,0.9807192908382923
95,84,20180522,gchure,Q294K,O2,R260,5000.0,19888.438470215828,260.0,r3,0.862969362259226
